bno,be
honi,be
chahiye,should
pr,but
bnte,makes
hi,only
dena,give
bta,tell
jaye,went
ban,make
bhai,brother
kesa,how
hai,is
mast,fine
ghat,river bank
tent,tent
lagwa,eorganized
dena,give
tu,you
suna,tell
jarur,necesserily
shaadi,marriage
kiski,whose
kyu,why
kaha,where
kahan,where
lakhpati,millionaire
bnega,will become
hogi,will happen
na,no
uski,her
wali,type
to,then
bhaag,flew
gayi,went
ki,then
kisi,any
or,other
ke,of
saath,with
teri,your
uske,"his,her"
pati,,husband
ghar,home
ke,of
kese,how
kr,do
leta,take
galat,wrong
nhi,no
ab,now
kuch,something
skta,can
mila,got
iska,it's
haath,hand
aur,and
ye,this
laga,attached
laga rahega,will carry on
jagannath,god
lage,seemed
lage raho,keep on
abto,now
btao,tell
kisne,whose
ji,sir
tujhse,from you
pagal,mad
kya,what
kab,when
madam,madam
aapki,your
kasam,swear
mene,i
kitaab,book
me,in
photo,picture
dekhi,saw
thi,was
usne,"he,she"
pahan,wear
rakha,kept
tha,was
ladki,girl
ladka,boy
hme,us
aisa,such
jo,what
kch,something
khata,eats
peeta,drinks
na,no
kaam,work
krta,,does
pandit,priest
wale,with
aapko,you
ward,award
milega,will get
aaj,today
hila,shake
daala,put
kon,who
chipkli,lizard
ek,one
garib,poor
magar,but
jise,whom
bachpan,childhood
huyi,became
shikaar,hunt
kuposhan,malnutrition
wo,"he,she"
sigerate,smoke
jhuth,lie
bol,speak
rha,is
prabhu,god
aap,you
chup,silent
saale,bastard
das,ten
sir,sir
poora,full
bandal,bundle
pee,drink
jayega,will go
ye,this
roj,daily
itne,many
kyu,why
bhejta,sends
hu,is
masti,fun
liye,took
paas,near
taki,so that
padne,read
samta,capacity
bad,after
ske,can
kyuki,because
pdega,will read
desh,country
tabhi,then
bdega,will increase
bus,only
betrha,sat
mere,me
bagal,beside
aadmi,man
khada,stood
hua,became
phone,phone
baja,rang
diya,gave
inko,to it
bhula,forgot
dhoka,cheat
neta,leader
khel,game
gya,went
raajniti,politics
betth,sit
poha,poha
rajai,quilt
khatm,finish
dhanyawad,thanks
joote,shoes
hardik,from heart
badhai,congrachulation
ghasit,,scribbling
layenge,will take
bolega,will say
soya,slept
isliye,so
khelne,to play
vese,like that
krlo,do
are,oh
krta,does
fir,again
ruk,stop
abhi,now
soya,slept
tak,till
prblm,problem
bdi,huge
hmare,our
rhne,let it be
sojao,sleep
pariyo,angels
sirf,only
sapne,dreams
baad,after
sounga,will sleep
jisko,whom
nind,browsy
chale,lets go
subah,morning
takleef,problem
shuru,begin
nayi,new
dusra,other
vakya,sentence
bhul,mistake
pahla,first
tisra,third
behosh,unconscious
pyar,love
lenge,will take
mangega,will beg
kal,tomorrow
muh,mouth
band,close
patni,wife
der,late
bhavuk,emotional
hokar,getting
pucha,asked
dandi,stick
kitne,how many
assi,eighty
baar,times
bihar,bihar
punjabi,punjabi
kuwa,well
gir,fallen
vha,there
gujra,passed
chillane,crying
aawaj,sound
suni,listened
abe,hey
be,bhakkk
bhitar,inside
nikal,come out
dete,give
nikaalne,take out
paaji,brother
sharm,shy
sharabi,alcoholic
jnaja,funeral
jaldi,quick
kabr,grave
upar,above
kisi,any
oye,hey
niche,under
murda,corps
konsa,which
badal,cloud
kaala,black
knws,knows
abt,about
mili,met
yh,this
hai,is
aukat,capacity
okat,capacity
bahu,bride
jina,live
hram,hell
haram,hell
jhatke,shocks
ltke,hung
jhtke,shocks
shant,calm
swabhav,nature
baad,later
aayi,came
laal,red
sundar,beautiful
duniya,world
gori,fair
chitti,fair
videsh,foreign
videshi,foreigner
vdesh,foreign
jse,for example
jese,for example
jaise,for example
dhrm,religion
nibha,obeyed
dikhati,shows
hosh,consciousness
udati,blown
pahle,before
phle,before
jaanu,darling
maja,fun
maza,fun
karungi,will do
krungi,will do
krugi,will do
krngi,will do
jg,waking
kr,do
jaag,woke
jag,woke
apn,we
baut,very
esliye,so
bhi,also
b,also
tyr,ready
gd,good
gud,good
nt,night
nyt,night
nite,night
baki,rest
jodi,pair
lag,sat
gai,happened
gi,happened
chal,go
ras,juice
vapsi,returning
wapsi,returning
vrna,otherwise
wrna,otherwise
jruri,necessary
jaroori,necessary
vjh,reason
vajah,reason
wajah,reason
wjh,reason
wjah,reason
vjah,reason
pura,full
poora,full
jldi,quick
aj,today
hm,we
dye,gave
raste,ways
idr,here
hoke,became
pahuch,reach
phuch,reach
jwab,answer
jawab,answer
aate,came
aag,fire
lagayi,applied
lgayi,applied
chandni,moonlight
barf,ice
ghol,dissolve
jawani,youth
jwani,youth
takra,collide
ldi,fight
ldi,fight
ladai,fight
ldai,fight
kamar,waist
najar,sight
nazar,sight
njr,sight
qamar,waist
qmr,waist
samay,time
swami,god
kafi,very
aapka,your
apka,your
darwaja,door
drwja,door
tum,you
ho,are
